2026-07-06T01:58:15.177Z - path: /noi-that-phong-tam.png, originalUrl: /images/noi-that-phong-tam.png?v=1783302771692, decoded: /noi-that-phong-tam.png
2026-07-06T02:04:52.143Z - path: /tien-ich-xung-quanh/vi-tri-nyah-phu-dinh.jpg, originalUrl: /images/tien-ich-xung-quanh/vi-tri-nyah-phu-dinh.jpg?v=1783303488751, decoded: /tien-ich-xung-quanh/vi-tri-nyah-phu-dinh.jpg
2026-07-06T02:04:52.144Z - path: /noi-that-phong-khach/noi-that-phong-khach.png, originalUrl: /images/noi-that-phong-khach/noi-that-phong-khach.png?v=1783303488751, decoded: /noi-that-phong-khach/noi-that-phong-khach.png
2026-07-06T02:04:52.145Z - path: /noi-that-nha-bep/noi-that-nha-bep.png, originalUrl: /images/noi-that-nha-bep/noi-that-nha-bep.png?v=1783303488751, decoded: /noi-that-nha-bep/noi-that-nha-bep.png
2026-07-06T02:04:52.146Z - path: /noi-that-phong-ngu/noi-that-phong-ngu.png, originalUrl: /images/noi-that-phong-ngu/noi-that-phong-ngu.png?v=1783303488751, decoded: /noi-that-phong-ngu/noi-that-phong-ngu.png
2026-07-06T02:04:57.016Z - path: /noi-that-phong-tam.png, originalUrl: /images/noi-that-phong-tam.png?v=1783303488751, decoded: /noi-that-phong-tam.png
2026-07-06T02:04:57.881Z - path: /noi-that-phong-tam.jpg, originalUrl: /images/noi-that-phong-tam.jpg?v=1783303488751, decoded: /noi-that-phong-tam.jpg
2026-07-06T02:04:58.957Z - path: /noi-that-phong-tam.jpg, originalUrl: /images/noi-that-phong-tam.jpg?v=1783303488751, decoded: /noi-that-phong-tam.jpg
2026-07-06T02:04:59.648Z - path: /noi-that-phong-tam.jpeg, originalUrl: /images/noi-that-phong-tam.jpeg?v=1783303488751, decoded: /noi-that-phong-tam.jpeg
2026-07-06T02:05:00.325Z - path: /noi-that-phong-tam.jpeg, originalUrl: /images/noi-that-phong-tam.jpeg?v=1783303488751, decoded: /noi-that-phong-tam.jpeg
2026-07-06T02:06:56.586Z - path: /noi-that-phong-tam/noi-that-phong-tam.png, originalUrl: /images/noi-that-phong-tam/noi-that-phong-tam.png, decoded: /noi-that-phong-tam/noi-that-phong-tam.png
